0.000: Updated main state from mn_state.init_st to mn_state.wait_arm_st
0.000: Updated sensor control state from sn_state.init_st to sn_state.wait_enable_st
0.000: Selected reference trajectory: refData1.txt in controller.
0.000: Updated motor control state from mt_state.init_st to mt_state.wait_enable_st
0.000: Updated main state from mn_state.wait_arm_st to mn_state.arm_st
0.000: Updated sensor control state from sn_state.wait_enable_st to sn_state.pull_data_st
5.956: Sensor Data: t: 5.95563, h: 1000.91, V: 208.878, a: -19.6413, theta: 0.1
6.057: Sensor Data: t: 6.05664, h: 1021.91, V: 206.905, a: -19.4301, theta: 0.1
6.159: Sensor Data: t: 6.15863, h: 1042.91, V: 204.934, a: -19.2218, theta: 0.1
6.259: Sensor Data: t: 6.25913, h: 1063.41, V: 203.012, a: -19.0214, theta: 0.1
6.361: Sensor Data: t: 6.36059, h: 1083.91, V: 201.092, a: -18.8237, theta: 0.1
6.462: Sensor Data: t: 6.46202, h: 1104.21, V: 199.193, a: -18.6306, theta: 0.1
6.563: Sensor Data: t: 6.5629, h: 1124.21, V: 197.323, a: -18.4429, theta: 0.1
6.665: Sensor Data: t: 6.66475, h: 1144.21, V: 195.454, a: -18.2577, theta: 0.1
6.766: Sensor Data: t: 6.7655, h: 1163.81, V: 193.624, a: -18.0787, theta: 0.1
6.867: Sensor Data: t: 6.86669, h: 1183.31, V: 191.803, a: -17.9029, theta: 0.1
6.969: Sensor Data: t: 6.96884, h: 1202.81, V: 189.983, a: -17.7294, theta: 0.1
7.069: Sensor Data: t: 7.06932, h: 1221.81, V: 188.21, a: -17.5625, theta: 0.1
7.171: Sensor Data: t: 7.17075, h: 1240.81, V: 186.437, a: -17.3978, theta: 0.1
7.273: Sensor Data: t: 7.27261, h: 1259.71, V: 184.674, a: -17.236, theta: 0.1
7.373: Sensor Data: t: 7.37326, h: 1278.21, V: 182.947, a: -17.0795, theta: 0.1
7.475: Sensor Data: t: 7.47486, h: 1296.71, V: 181.219, a: -16.9251, theta: 0.1
7.577: Sensor Data: t: 7.5766, h: 1315.06, V: 179.505, a: -16.7737, theta: 0.1
7.677: Sensor Data: t: 7.67735, h: 1333.06, V: 177.822, a: -16.6271, theta: 0.1
7.779: Sensor Data: t: 7.77906, h: 1351.06, V: 176.139, a: -16.4822, theta: 0.1
7.881: Sensor Data: t: 7.88089, h: 1368.91, V: 174.468, a: -16.3403, theta: 0.1
7.982: Sensor Data: t: 7.98167, h: 1386.41, V: 172.828, a: -16.2027, theta: 0.1
8.083: Sensor Data: t: 8.08341, h: 1403.91, V: 171.186, a: -16.0668, theta: 0.1
8.185: Sensor Data: t: 8.18525, h: 1421.26, V: 169.557, a: -15.9336, theta: 0.1
8.286: Sensor Data: t: 8.28599, h: 1438.26, V: 167.958, a: -15.8046, theta: 0.1
8.388: Sensor Data: t: 8.38769, h: 1455.26, V: 166.358, a: -15.677, theta: 0.1
8.490: Sensor Data: t: 8.48977, h: 1472.16, V: 164.764, a: -15.5517, theta: 0.1
8.590: Sensor Data: t: 8.59039, h: 1488.66, V: 163.205, a: -15.4306, theta: 0.1
8.692: Sensor Data: t: 8.69198, h: 1505.16, V: 161.644, a: -15.3109, theta: 0.1
8.795: Sensor Data: t: 8.79455, h: 1521.66, V: 160.079, a: -15.1925, theta: 0.1
8.895: Sensor Data: t: 8.8953, h: 1537.71, V: 158.554, a: -15.0786, theta: 0.1
8.997: Sensor Data: t: 8.9967, h: 1553.71, V: 157.031, a: -14.9662, theta: 0.1
9.099: Sensor Data: t: 9.09909, h: 1569.71, V: 155.504, a: -14.8551, theta: 0.1
9.200: Sensor Data: t: 9.20022, h: 1585.36, V: 154.008, a: -14.7475, theta: 0.1
9.301: Sensor Data: t: 9.30135, h: 1600.86, V: 152.522, a: -14.6421, theta: 0.1
9.403: Sensor Data: t: 9.40348, h: 1616.36, V: 151.032, a: -14.5377, theta: 0.1
9.506: Sensor Data: t: 9.50562, h: 1631.71, V: 149.552, a: -14.4354, theta: 0.1
9.606: Sensor Data: t: 9.60641, h: 1646.71, V: 148.102, a: -14.3365, theta: 0.1
9.708: Sensor Data: t: 9.70819, h: 1661.71, V: 146.648, a: -14.2385, theta: 0.1
9.811: Sensor Data: t: 9.81099, h: 1676.71, V: 145.189, a: -14.1415, theta: 0.1
9.912: Sensor Data: t: 9.9117, h: 1691.26, V: 143.77, a: -14.0484, theta: 0.1
10.013: Sensor Data: t: 10.0131, h: 1705.76, V: 142.35, a: -13.9565, theta: 0.1
10.115: Sensor Data: t: 10.1154, h: 1720.26, V: 140.926, a: -13.8654, theta: 0.1
10.217: Sensor Data: t: 10.2174, h: 1734.56, V: 139.517, a: -13.7765, theta: 0.1
10.318: Sensor Data: t: 10.3183, h: 1748.56, V: 138.132, a: -13.6903, theta: 0.1
10.420: Sensor Data: t: 10.4201, h: 1762.56, V: 136.742, a: -13.6048, theta: 0.1
10.523: Sensor Data: t: 10.523, h: 1776.56, V: 135.346, a: -13.5202, theta: 0.1
10.624: Sensor Data: t: 10.624, h: 1790.16, V: 133.985, a: -13.4387, theta: 0.1
10.725: Sensor Data: t: 10.7253, h: 1803.66, V: 132.628, a: -13.3586, theta: 0.1
10.828: Sensor Data: t: 10.8276, h: 1817.16, V: 131.265, a: -13.2791, theta: 0.1
10.931: Sensor Data: t: 10.9306, h: 1830.61, V: 129.901, a: -13.2007, theta: 0.1
11.031: Sensor Data: t: 11.0312, h: 1843.61, V: 128.577, a: -13.1256, theta: 0.1
11.133: Sensor Data: t: 11.1329, h: 1856.61, V: 127.247, a: -13.0511, theta: 0.1
11.236: Sensor Data: t: 11.2356, h: 1869.61, V: 125.911, a: -12.9773, theta: 0.1
11.338: Sensor Data: t: 11.3382, h: 1882.46, V: 124.583, a: -12.9049, theta: 0.1
11.439: Sensor Data: t: 11.439, h: 1894.96, V: 123.285, a: -12.8351, theta: 0.1
11.541: Sensor Data: t: 11.541, h: 1907.46, V: 121.98, a: -12.7659, theta: 0.1
11.644: Sensor Data: t: 11.644, h: 1919.96, V: 120.668, a: -12.6973, theta: 0.1
11.746: Sensor Data: t: 11.7461, h: 1932.21, V: 119.376, a: -12.6306, theta: 0.1
11.847: Sensor Data: t: 11.8471, h: 1944.21, V: 118.102, a: -12.5658, theta: 0.1
11.949: Sensor Data: t: 11.9493, h: 1956.21, V: 116.822, a: -12.5015, theta: 0.1
12.053: Sensor Data: t: 12.0526, h: 1968.21, V: 115.534, a: -12.4377, theta: 0.1
12.154: Sensor Data: t: 12.1544, h: 1979.91, V: 114.271, a: -12.376, theta: 0.1
12.256: Sensor Data: t: 12.2556, h: 1991.41, V: 113.021, a: -12.3158, theta: 0.1
12.358: Sensor Data: t: 12.3579, h: 2002.91, V: 111.764, a: -12.2561, theta: 0.1
12.461: Sensor Data: t: 12.4614, h: 2014.41, V: 110.499, a: -12.1968, theta: 0.1
12.563: Sensor Data: t: 12.5633, h: 2025.61, V: 109.259, a: -12.1396, theta: 0.1
12.665: Sensor Data: t: 12.6646, h: 2036.61, V: 108.032, a: -12.0837, theta: 0.1
12.767: Sensor Data: t: 12.767, h: 2047.61, V: 106.798, a: -12.0283, theta: 0.1
12.871: Sensor Data: t: 12.8706, h: 2058.61, V: 105.554, a: -11.9733, theta: 0.1
12.973: Sensor Data: t: 12.9726, h: 2069.31, V: 104.336, a: -11.9201, theta: 0.1
13.074: Sensor Data: t: 13.0738, h: 2079.81, V: 103.132, a: -11.8684, theta: 0.1
13.176: Sensor Data: t: 13.1762, h: 2090.31, V: 101.92, a: -11.817, theta: 0.1
13.280: Sensor Data: t: 13.2799, h: 2100.81, V: 100.697, a: -11.7659, theta: 0.1
13.383: Sensor Data: t: 13.3828, h: 2111.11, V: 99.4892, a: -11.7162, theta: 0.1
13.484: Sensor Data: t: 13.4839, h: 2121.11, V: 98.3069, a: -11.6682, theta: 0.1
13.586: Sensor Data: t: 13.5862, h: 2131.11, V: 97.1152, a: -11.6206, theta: 0.1
13.690: Sensor Data: t: 13.6898, h: 2141.11, V: 95.9136, a: -11.5733, theta: 0.1
13.794: Sensor Data: t: 13.7937, h: 2151.01, V: 94.7139, a: -11.5268, theta: 0.1
13.895: Sensor Data: t: 13.8946, h: 2160.51, V: 93.5528, a: -11.4824, theta: 0.1
13.997: Sensor Data: t: 13.9968, h: 2170.01, V: 92.3817, a: -11.4383, theta: 0.1
14.100: Sensor Data: t: 14.1003, h: 2179.51, V: 91.2001, a: -11.3945, theta: 0.1
14.205: Sensor Data: t: 14.2052, h: 2189.01, V: 90.0076, a: -11.351, theta: 0.1
14.306: Sensor Data: t: 14.3058, h: 2198.01, V: 88.8674, a: -11.3101, theta: 0.1
14.408: Sensor Data: t: 14.4078, h: 2207.01, V: 87.7166, a: -11.2693, theta: 0.1
14.511: Sensor Data: t: 14.511, h: 2216.01, V: 86.5547, a: -11.2288, theta: 0.1
14.616: Sensor Data: t: 14.6157, h: 2225.01, V: 85.3812, a: -11.1886, theta: 0.1
14.718: Sensor Data: t: 14.7177, h: 2233.66, V: 84.242, a: -11.1502, theta: 0.1
14.819: Sensor Data: t: 14.8193, h: 2242.16, V: 83.1112, a: -11.1126, theta: 0.1
14.922: Sensor Data: t: 14.9223, h: 2250.66, V: 81.9687, a: -11.0753, theta: 0.1
15.027: Sensor Data: t: 15.0267, h: 2259.16, V: 80.814, a: -11.0381, theta: 0.1
15.131: Sensor Data: t: 15.1308, h: 2267.51, V: 79.6672, a: -11.0019, theta: 0.1
15.232: Sensor Data: t: 15.2319, h: 2275.51, V: 78.5564, a: -10.9673, theta: 0.1
15.335: Sensor Data: t: 15.3345, h: 2283.51, V: 77.4332, a: -10.9329, theta: 0.1
15.439: Sensor Data: t: 15.4386, h: 2291.51, V: 76.297, a: -10.8987, theta: 0.1
15.544: Sensor Data: t: 15.5442, h: 2299.51, V: 75.1473, a: -10.8647, theta: 0.1
15.646: Sensor Data: t: 15.6455, h: 2307.06, V: 74.0493, a: -10.8328, theta: 0.1
15.748: Sensor Data: t: 15.7475, h: 2314.56, V: 72.9455, a: -10.8012, theta: 0.1
15.851: Sensor Data: t: 15.8511, h: 2322.06, V: 71.8279, a: -10.7698, theta: 0.1
15.956: Sensor Data: t: 15.9564, h: 2329.56, V: 70.696, a: -10.7386, theta: 0.1
16.061: Sensor Data: t: 16.0605, h: 2336.86, V: 69.5799, a: -10.7083, theta: 0.1
16.162: Sensor Data: t: 16.1619, h: 2343.86, V: 68.4955, a: -10.6795, theta: 0.1
16.265: Sensor Data: t: 16.2649, h: 2350.86, V: 67.3967, a: -10.6507, theta: 0.1
16.370: Sensor Data: t: 16.3696, h: 2357.86, V: 66.2827, a: -10.6221, theta: 0.1
16.476: Sensor Data: t: 16.4762, h: 2364.86, V: 65.1528, a: -10.5937, theta: 0.1
16.578: Sensor Data: t: 16.5775, h: 2371.41, V: 64.0802, a: -10.5671, theta: 0.1
16.680: Sensor Data: t: 16.6798, h: 2377.91, V: 63.0005, a: -10.5409, theta: 0.1
16.784: Sensor Data: t: 16.7839, h: 2384.41, V: 61.9047, a: -10.5148, theta: 0.1
16.890: Sensor Data: t: 16.8899, h: 2390.91, V: 60.792, a: -10.4889, theta: 0.1
16.995: Sensor Data: t: 16.9953, h: 2397.26, V: 59.6876, a: -10.4636, theta: 0.1
17.097: Sensor Data: t: 17.0967, h: 2403.26, V: 58.6274, a: -10.4398, theta: 0.1
17.200: Sensor Data: t: 17.2, h: 2409.26, V: 57.5503, a: -10.4161, theta: 0.1
17.305: Sensor Data: t: 17.3053, h: 2415.26, V: 56.455, a: -10.3925, theta: 0.1
17.413: Sensor Data: t: 17.4126, h: 2421.26, V: 55.3407, a: -10.3691, theta: 0.1
17.516: Sensor Data: t: 17.5157, h: 2426.91, V: 54.2728, a: -10.347, theta: 0.1
17.618: Sensor Data: t: 17.6181, h: 2432.41, V: 53.2149, a: -10.3256, theta: 0.1
17.723: Sensor Data: t: 17.7225, h: 2437.91, V: 52.1379, a: -10.3043, theta: 0.1
17.829: Sensor Data: t: 17.8291, h: 2443.41, V: 51.0403, a: -10.2831, theta: 0.1
17.937: Sensor Data: t: 17.9371, h: 2448.86, V: 49.9313, a: -10.2622, theta: 0.1
18.038: Sensor Data: t: 18.0383, h: 2453.86, V: 48.8937, a: -10.243, theta: 0.1
18.142: Sensor Data: t: 18.1417, h: 2458.86, V: 47.8357, a: -10.2239, theta: 0.1
18.247: Sensor Data: t: 18.2474, h: 2463.86, V: 46.7557, a: -10.2049, theta: 0.1
18.356: Sensor Data: t: 18.3556, h: 2468.86, V: 45.6523, a: -10.1859, theta: 0.1
18.462: Sensor Data: t: 18.4621, h: 2473.66, V: 44.5693, a: -10.1677, theta: 0.1
18.564: Sensor Data: t: 18.5642, h: 2478.16, V: 43.5314, a: -10.1507, theta: 0.1
18.669: Sensor Data: t: 18.6689, h: 2482.66, V: 42.4699, a: -10.1338, theta: 0.1
18.776: Sensor Data: t: 18.7762, h: 2487.16, V: 41.3829, a: -10.1169, theta: 0.1
18.887: Sensor Data: t: 18.8865, h: 2491.66, V: 40.2686, a: -10.1001, theta: 0.1
18.990: Sensor Data: t: 18.9897, h: 2495.76, V: 39.2274, a: -10.0847, theta: 0.1
19.093: Sensor Data: t: 19.093, h: 2499.76, V: 38.1858, a: -10.0698, theta: 0.1
19.199: Sensor Data: t: 19.1993, h: 2503.76, V: 37.1166, a: -10.055, theta: 0.1
19.309: Sensor Data: t: 19.3087, h: 2507.76, V: 36.0174, a: -10.0401, theta: 0.1
19.420: Sensor Data: t: 19.4201, h: 2511.71, V: 34.8995, a: -10.0255, theta: 0.1
19.522: Sensor Data: t: 19.5219, h: 2515.21, V: 33.8796, a: -10.0125, theta: 0.1
19.627: Sensor Data: t: 19.6269, h: 2518.71, V: 32.8294, a: -9.9996, theta: 0.1
19.735: Sensor Data: t: 19.7353, h: 2522.21, V: 31.7459, a: -9.98668, theta: 0.1
19.848: Sensor Data: t: 19.8475, h: 2525.71, V: 30.6256, a: -9.97376, theta: 0.1
19.956: Sensor Data: t: 19.9556, h: 2528.96, V: 29.5485, a: -9.96177, theta: 0.1
20.059: Sensor Data: t: 20.059, h: 2531.96, V: 28.5195, a: -9.9507, theta: 0.1
20.166: Sensor Data: t: 20.1662, h: 2534.96, V: 27.4531, a: -9.93962, theta: 0.1
20.278: Sensor Data: t: 20.2777, h: 2537.96, V: 26.3448, a: -9.92852, theta: 0.1
20.394: Sensor Data: t: 20.3942, h: 2540.96, V: 25.1891, a: -9.91739, theta: 0.1
20.500: Sensor Data: t: 20.4997, h: 2543.56, V: 24.1438, a: -9.90771, theta: 0.1
20.606: Sensor Data: t: 20.6056, h: 2546.06, V: 23.0952, a: -9.89836, theta: 0.1
20.716: Sensor Data: t: 20.7165, h: 2548.56, V: 21.9976, a: -9.88894, theta: 0.1
20.833: Sensor Data: t: 20.8333, h: 2551.06, V: 20.8434, a: -9.87944, theta: 0.1
20.949: Sensor Data: t: 20.9493, h: 2553.41, V: 19.6979, a: -9.87039, theta: 0.1
21.054: Sensor Data: t: 21.0536, h: 2555.41, V: 18.6686, a: -9.86256, theta: 0.1
21.164: Sensor Data: t: 21.164, h: 2557.41, V: 17.5799, a: -9.85456, theta: 0.1
21.282: Sensor Data: t: 21.2818, h: 2559.41, V: 16.42, a: -9.84632, theta: 0.1
21.409: Sensor Data: t: 21.4085, h: 2561.41, V: 15.1727, a: -9.8377, theta: 0.1
21.514: Sensor Data: t: 21.5144, h: 2562.96, V: 14.1312, a: -9.83062, theta: 0.1
21.625: Sensor Data: t: 21.625, h: 2564.46, V: 13.0449, a: -9.82323, theta: 0.1
21.746: Sensor Data: t: 21.7456, h: 2565.96, V: 11.8603, a: -9.81497, theta: 0.1
21.880: Sensor Data: t: 21.8798, h: 2567.46, V: 10.5441, a: -9.80517, theta: 0.1
22.001: Sensor Data: t: 22.0007, h: 2568.66, V: 9.35942, a: -9.79517, theta: 0.1
22.115: Sensor Data: t: 22.1146, h: 2569.66, V: 8.24363, a: -9.78381, theta: 0.1
