Simulation created and run on: 
Mon Feb 27 13:58:41 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
0, 762.914, 274.57, -9.80665, 0
0.100009, 790.264, 272.387, -21.7152, 1.39756
0.200082, 817.414, 270.225, -21.5084, 2.79856
0.300213, 844.364, 268.081, -21.3197, 4.20037
0.400395, 871.114, 265.953, -21.1479, 5.60289
0.500434, 897.614, 263.846, -20.9925, 7.00342
0.600512, 923.914, 261.752, -20.8521, 8.40449
0.700623, 950.014, 259.671, -20.7256, 9.80603
0.800765, 975.914, 257.601, -20.6123, 11.208
0.900933, 1001.61, 255.542, -20.5112, 12.6103
1.00112, 1027.11, 253.491, -20.4215, 14.013
1.10114, 1052.36, 251.453, -20.3423, 15.4131
1.20116, 1077.41, 249.422, -20.2727, 16.8135
1.3012, 1102.26, 247.397, -20.212, 18.214
1.40125, 1126.91, 245.377, -20.1593, 19.6146
1.5013, 1151.36, 243.363, -20.1138, 21.0153
1.60136, 1175.61, 241.352, -20.0749, 22.4162
1.70143, 1199.66, 239.345, -20.0418, 23.817
1.80149, 1223.51, 237.341, -20.0138, 25.2179
1.90156, 1247.16, 235.339, -19.9904, 26.6189
2.00163, 1270.61, 233.34, -19.9707, 28.0198
2.1017, 1293.86, 231.342, -19.9543, 29.4208
2.20177, 1316.91, 229.346, -19.9405, 30.8217
2.30184, 1339.76, 227.352, -19.9288, 32.2226
2.4019, 1362.41, 225.358, -19.9186, 33.6235
2.50196, 1384.86, 223.365, -19.9095, 35.0243
2.60202, 1407.11, 221.373, -19.9009, 36.4252
2.70208, 1429.16, 219.383, -19.8924, 37.8259
2.80213, 1451.01, 217.393, -19.8835, 39.2266
2.90218, 1472.66, 215.404, -19.8738, 40.6273
3.00222, 1494.11, 213.416, -19.863, 42.0278
3.10226, 1515.36, 211.43, -19.8507, 43.4283
3.20229, 1536.41, 209.445, -19.8365, 44.8287
3.30231, 1557.26, 207.462, -19.8201, 46.229
3.40233, 1577.91, 205.48, -19.8014, 47.6292
3.50234, 1598.36, 203.501, -19.7799, 49.0293
3.60258, 1618.66, 201.519, -19.7554, 50.4326
3.70281, 1638.76, 199.541, -19.7277, 51.8359
3.80304, 1658.66, 197.565, -19.6968, 53.239
3.90326, 1678.36, 195.593, -19.6622, 54.642
4.00346, 1697.86, 193.625, -19.5915, 55.7992
4.10364, 1717.16, 191.673, -19.3688, 55.7992
