Simulation created and run on: 
Mon Feb 27 13:59:13 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
0, 742.914, 274.57, -9.80665, 0
0.10001, 770.264, 272.384, -21.745, 1.39757
0.200084, 797.414, 270.219, -21.5376, 2.79859
0.300218, 824.364, 268.072, -21.3482, 4.20044
0.400404, 851.114, 265.942, -21.1759, 5.60302
0.500448, 877.614, 263.831, -21.0199, 7.00362
0.600532, 903.914, 261.734, -20.879, 8.40477
0.700651, 930.014, 259.651, -20.7521, 9.80642
0.800801, 955.914, 257.578, -20.6384, 11.2085
0.900979, 981.614, 255.516, -20.5369, 12.611
1.00098, 1007.06, 253.467, -20.4469, 14.011
1.10101, 1032.31, 251.425, -20.3674, 15.4113
1.20104, 1057.36, 249.392, -20.2975, 16.8118
1.30109, 1082.21, 247.364, -20.2365, 18.2125
1.40115, 1106.86, 245.342, -20.1835, 19.6133
1.50122, 1131.31, 243.324, -20.1378, 21.0143
1.6013, 1155.56, 241.311, -20.0986, 22.4153
1.70138, 1179.61, 239.301, -20.0653, 23.8164
1.80147, 1203.46, 237.294, -20.0371, 25.2176
1.90156, 1227.11, 235.29, -20.0134, 26.6188
2.00165, 1250.56, 233.288, -19.9936, 28.0201
2.10174, 1273.81, 231.288, -19.977, 29.4213
2.20183, 1296.86, 229.289, -19.963, 30.8226
2.30193, 1319.71, 227.291, -19.9512, 32.2239
2.40202, 1342.36, 225.295, -19.9408, 33.6251
2.50211, 1364.81, 223.299, -19.9315, 35.0264
2.6022, 1387.06, 221.305, -19.9227, 36.4276
2.70229, 1409.11, 219.311, -19.914, 37.8288
2.80237, 1430.96, 217.319, -19.9049, 39.23
2.90246, 1452.61, 215.327, -19.8951, 40.6311
3.00254, 1474.06, 213.336, -19.884, 42.0322
3.10261, 1495.31, 211.347, -19.8715, 43.4333
3.20268, 1516.36, 209.359, -19.8571, 44.8342
3.30275, 1537.21, 207.373, -19.8405, 46.2351
3.40281, 1557.86, 205.389, -19.8215, 47.6359
3.50286, 1578.31, 203.407, -19.7998, 49.0366
3.6029, 1598.56, 201.427, -19.7751, 50.4371
3.70293, 1618.61, 199.451, -19.714, 51.5991
3.80295, 1638.46, 197.49, -19.4935, 51.6026
3.9032, 1658.16, 195.547, -19.2773, 51.6026
4.00341, 1677.66, 193.626, -19.0665, 51.6027
4.10358, 1696.96, 191.726, -18.8608, 51.6027
4.2037, 1716.06, 189.848, -18.6601, 51.6027
4.30374, 1734.96, 187.991, -18.4642, 51.6027
4.40397, 1753.71, 186.15, -18.2722, 51.599
4.50412, 1772.26, 184.33, -18.0858, 51.6028
4.60416, 1790.61, 182.529, -17.9029, 51.5989
4.70436, 1808.81, 180.744, -17.7245, 51.5989
4.80444, 1826.81, 178.979, -17.5503, 51.5989
4.90466, 1844.66, 177.229, -17.3803, 51.6028
5.00474, 1862.31, 175.498, -17.2136, 51.5989
5.10495, 1879.81, 173.781, -17.0508, 51.5988
5.20499, 1897.11, 172.083, -16.8919, 51.5988
5.30514, 1914.26, 170.399, -16.7368, 51.6029
5.4054, 1931.26, 168.729, -16.5846, 51.6029
5.50546, 1948.06, 167.077, -16.4361, 51.6029
5.60561, 1964.71, 165.438, -16.2903, 51.5987
5.70584, 1981.21, 163.813, -16.1479, 51.5987
5.80615, 1997.56, 162.2, -16.0089, 51.603
5.90621, 2013.71, 160.605, -15.8726, 51.5987
6.00633, 2029.71, 159.023, -15.7394, 51.5987
6.1065, 2045.56, 157.453, -15.6094, 51.6031
6.20671, 2061.26, 155.895, -15.4817, 51.6031
6.30695, 2076.81, 154.349, -15.3564, 51.5986
6.40723, 2092.21, 152.816, -15.234, 51.5986
6.50752, 2107.46, 151.294, -15.1145, 51.6032
6.60783, 2122.56, 149.784, -14.9972, 51.6032
6.70814, 2137.51, 148.285, -14.8819, 51.5985
6.80846, 2152.31, 146.798, -14.7694, 51.5985
6.90876, 2166.96, 145.322, -14.6596, 51.6033
7.00905, 2181.46, 143.857, -14.5517, 51.6033
7.10931, 2195.81, 142.404, -14.4458, 51.5984
7.20954, 2210.01, 140.961, -14.3423, 51.5984
7.30972, 2224.06, 139.529, -14.2414, 51.6034
7.40985, 2237.96, 138.108, -14.1422, 51.6034
7.50993, 2251.71, 136.698, -14.0447, 51.5983
7.60993, 2265.31, 135.298, -13.9496, 51.5983
7.71023, 2278.81, 133.904, -13.8562, 51.5982
7.81045, 2292.16, 132.52, -13.7649, 51.6035
7.91058, 2305.36, 131.146, -13.6753, 51.6035
8.01061, 2318.41, 129.782, -13.5873, 51.5982
8.11092, 2331.36, 128.424, -13.5013, 51.6036
8.21112, 2344.16, 127.075, -13.4169, 51.6036
8.31119, 2356.81, 125.737, -13.3339, 51.5981
8.41154, 2369.36, 124.403, -13.2529, 51.6037
8.51175, 2381.76, 123.079, -13.1733, 51.6037
8.61182, 2394.01, 121.764, -13.0952, 51.598
8.71215, 2406.16, 120.454, -13.0188, 51.6038
8.81231, 2418.16, 119.154, -12.9439, 51.6038
8.91273, 2430.06, 117.858, -12.8702, 51.6038
9.01298, 2441.81, 116.572, -12.7978, 51.5979
9.11304, 2453.41, 115.295, -12.7272, 51.5978
9.21334, 2464.91, 114.021, -12.6578, 51.5978
9.31344, 2476.26, 112.758, -12.5901, 51.604
9.41377, 2487.51, 111.498, -12.5231, 51.5977
9.51389, 2498.61, 110.247, -12.4578, 51.5977
9.61424, 2509.61, 109.001, -12.3936, 51.5976
9.71435, 2520.46, 107.763, -12.3309, 51.6041
9.81468, 2531.21, 106.529, -12.2689, 51.5976
9.91477, 2541.81, 105.304, -12.2085, 51.5975
10.0151, 2552.31, 104.083, -12.1491, 51.5975
10.1151, 2562.66, 102.87, -12.0912, 51.6043
10.2153, 2572.91, 101.661, -12.0339, 51.5974
10.3158, 2583.06, 100.455, -11.978, 51.6043
10.4159, 2593.06, 99.2587, -11.9231, 51.6044
10.5163, 2602.96, 98.065, -11.8691, 51.6044
10.6163, 2612.71, 96.8804, -11.8162, 51.5972
10.7165, 2622.36, 95.6987, -11.7645, 51.6045
10.8169, 2631.91, 94.52, -11.7134, 51.5972
10.917, 2641.31, 93.3503, -11.6636, 51.5971
11.0172, 2650.61, 92.1834, -11.6147, 51.5971
11.1177, 2659.81, 91.0193, -11.5666, 51.597
11.2178, 2668.86, 89.8642, -11.5198, 51.6047
11.318, 2677.81, 88.7118, -11.4735, 51.5969
11.4184, 2686.66, 87.5619, -11.4283, 51.6049
11.5184, 2695.36, 86.4212, -11.3841, 51.6049
11.6186, 2703.96, 85.283, -11.3406, 51.605
11.7189, 2712.46, 84.1472, -11.2979, 51.605
11.8195, 2720.86, 83.0139, -11.2559, 51.6051
11.9195, 2729.11, 81.8896, -11.2148, 51.5966
12.0197, 2737.26, 80.7678, -11.1748, 51.6052
12.1201, 2745.31, 79.6482, -11.1351, 51.5965
12.2206, 2753.26, 78.5308, -11.0965, 51.6053
12.3207, 2761.06, 77.4227, -11.0587, 51.6054
12.4208, 2768.76, 76.3167, -11.0216, 51.6054
12.5211, 2776.36, 75.213, -10.9852, 51.6055
12.6216, 2783.86, 74.1112, -10.9494, 51.6056
12.7222, 2791.26, 73.0115, -10.9144, 51.6056
12.8223, 2798.51, 71.9212, -10.8801, 51.596
12.9224, 2805.66, 70.833, -10.8467, 51.6058
13.0227, 2812.71, 69.7467, -10.8136, 51.5958
13.1232, 2819.66, 68.6622, -10.7815, 51.606
13.2237, 2826.51, 67.5796, -10.7498, 51.5957
13.3244, 2833.26, 66.4988, -10.7189, 51.6061
13.4245, 2839.86, 65.4278, -10.6887, 51.6062
13.5247, 2846.36, 64.3586, -10.6592, 51.6063
13.6249, 2852.76, 63.2911, -10.6302, 51.6064
13.7253, 2859.06, 62.2254, -10.6018, 51.6065
13.8258, 2865.26, 61.1613, -10.574, 51.6066
13.9265, 2871.36, 60.0987, -10.5467, 51.6067
14.0272, 2877.36, 59.0377, -10.52, 51.6068
14.128, 2883.26, 57.9781, -10.4939, 51.6069
14.2281, 2889.01, 56.9291, -10.4685, 51.5947
14.3283, 2894.66, 55.8816, -10.4438, 51.6071
14.4286, 2900.21, 54.8357, -10.4194, 51.5945
14.5289, 2905.66, 53.7913, -10.3958, 51.6074
14.6294, 2911.01, 52.7483, -10.3725, 51.5942
14.7299, 2916.26, 51.7067, -10.3499, 51.6076
14.8305, 2921.41, 50.6664, -10.3276, 51.5939
14.9312, 2926.46, 49.6274, -10.306, 51.6079
15.032, 2931.41, 48.5895, -10.2848, 51.5937
15.1329, 2936.26, 47.5528, -10.2642, 51.6082
15.2339, 2941.01, 46.5172, -10.244, 51.5933
15.334, 2945.61, 45.4937, -10.2245, 51.5932
15.434, 2950.11, 44.4717, -10.2055, 51.593
15.5341, 2954.51, 43.4511, -10.187, 51.5928
15.6343, 2958.81, 42.4317, -10.169, 51.5926
15.7345, 2963.01, 41.4137, -10.1514, 51.5924
15.8347, 2967.11, 40.3969, -10.1344, 51.5922
15.935, 2971.11, 39.3814, -10.1177, 51.592
16.0353, 2975.01, 38.367, -10.1015, 51.5917
16.1357, 2978.81, 37.3537, -10.0858, 51.5915
16.2362, 2982.51, 36.3415, -10.0705, 51.5912
16.3366, 2986.11, 35.3304, -10.0557, 51.5909
16.4372, 2989.61, 34.3203, -10.0413, 51.5907
16.5377, 2993.01, 33.3112, -10.0273, 51.5903
16.6383, 2996.31, 32.303, -10.0138, 51.59
16.739, 2999.51, 31.2958, -10.0007, 51.5897
16.8397, 3002.61, 30.2893, -9.98798, 51.5893
16.9404, 3005.61, 29.2837, -9.9757, 51.5889
17.0412, 3008.51, 28.2789, -9.96383, 51.5885
17.1421, 3011.31, 27.2748, -9.95236, 51.588
17.2429, 3014.01, 26.2713, -9.9413, 51.5875
17.3439, 3016.61, 25.2685, -9.93062, 51.587
17.4449, 3019.11, 24.2662, -9.92032, 51.5864
17.5459, 3021.51, 23.2644, -9.91041, 51.5858
17.647, 3023.81, 22.2631, -9.90085, 51.5851
17.7481, 3026.01, 21.2622, -9.89165, 51.5844
17.8493, 3028.11, 20.2616, -9.88279, 51.5836
17.9506, 3030.11, 19.2611, -9.87426, 51.5827
18.0519, 3032.01, 18.2609, -9.86602, 51.5817
18.1534, 3033.81, 17.2606, -9.85806, 51.5806
18.2549, 3035.51, 16.2602, -9.85034, 51.5793
18.3565, 3037.11, 15.2596, -9.84282, 51.5779
18.4583, 3038.61, 14.2585, -9.83543, 51.5763
18.5602, 3040.01, 13.2567, -9.82808, 51.5745
18.6622, 3041.31, 12.2539, -9.82067, 51.5723
18.7645, 3042.51, 11.2497, -9.813, 51.5698
18.8671, 3043.61, 10.2435, -9.80481, 51.5668
18.97, 3044.61, 9.23464, -9.79567, 51.5631
19.0735, 3045.51, 8.22187, -9.78488, 51.5584
19.1777, 3046.31, 7.20342, -9.77116, 51.5525
19.2829, 3047.01, 6.17635, -9.7521, 51.5445
19.3898, 3047.61, 5.13532, -9.72247, 51.5333
19.4997, 3048.11, 4.06946, -9.669, 51.5161
19.616, 3048.51, 2.95179, -9.54705, 51.4856
19.7225, 3048.76, 1.95168, -9.24646, 51.7689
19.8428, 3048.91, 0.931073, -7.97354, 51.3114
