Simulation created and run on: 
Mon Feb 27 13:59:02 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
0, 782.914, 264.57, -9.80665, 0
0.100183, 809.314, 262.472, -20.8375, 1.3999
0.200209, 835.464, 260.398, -20.648, 2.80024
0.300261, 861.414, 258.34, -20.4751, 4.20095
0.400332, 887.164, 256.3, -20.3179, 5.60192
0.500417, 912.714, 254.273, -20.1755, 7.00309
0.600511, 938.064, 252.26, -20.0469, 8.40437
0.700607, 963.214, 250.26, -19.9312, 9.80571
0.800703, 988.164, 248.27, -19.8277, 11.207
0.900793, 1012.91, 246.29, -19.7354, 12.6083
1.00087, 1037.46, 244.319, -19.6536, 14.0094
1.10094, 1061.81, 242.356, -19.5815, 15.4103
1.20099, 1085.96, 240.4, -19.5182, 16.811
1.30103, 1109.91, 238.451, -19.4631, 18.2114
1.40104, 1133.66, 236.507, -19.4154, 19.6115
1.50123, 1157.26, 234.563, -19.3743, 21.0143
1.60141, 1180.66, 232.624, -19.3393, 22.4167
1.70156, 1203.86, 230.689, -19.3098, 23.8188
1.80168, 1226.86, 228.757, -19.2849, 25.2205
1.90177, 1249.66, 226.828, -19.2642, 26.6217
2.00183, 1272.26, 224.901, -19.2471, 28.0225
2.10186, 1294.66, 222.977, -19.2329, 29.4229
2.20208, 1316.91, 221.05, -19.2211, 30.826
2.30227, 1338.96, 219.124, -19.2113, 32.2286
2.40243, 1360.81, 217.201, -19.2029, 33.6307
2.50255, 1382.46, 215.278, -19.1954, 35.0324
2.60263, 1403.91, 213.358, -19.1884, 36.4336
2.70268, 1425.16, 211.438, -19.1814, 37.8342
2.80269, 1446.21, 209.52, -19.1741, 39.2344
2.90291, 1467.11, 207.604, -19.0264, 39.6023
3.00307, 1487.81, 205.708, -18.8328, 39.6023
3.10319, 1508.31, 203.832, -18.6438, 39.6024
3.20324, 1528.61, 201.976, -18.4591, 39.6024
3.30346, 1548.76, 200.136, -18.2779, 39.5989
3.4036, 1568.71, 198.314, -18.1016, 39.6024
3.50365, 1588.46, 196.512, -17.9286, 39.5989
3.60384, 1608.06, 194.724, -17.7595, 39.5988
3.70393, 1627.46, 192.955, -17.5943, 39.5988
3.80415, 1646.71, 191.2, -17.4329, 39.6025
3.90424, 1665.76, 189.463, -17.2743, 39.5988
4.00445, 1684.66, 187.739, -17.1194, 39.5988
4.10452, 1703.36, 186.034, -16.968, 39.5988
4.20469, 1721.91, 184.342, -16.8201, 39.6025
4.30496, 1740.31, 182.662, -16.6748, 39.6026
4.40505, 1758.51, 181.001, -16.5327, 39.6026
4.50524, 1776.56, 179.351, -16.3932, 39.5987
4.6055, 1794.46, 177.714, -16.2568, 39.5987
4.70556, 1812.16, 176.095, -16.1236, 39.5987
4.80568, 1829.71, 174.487, -15.9933, 39.6026
4.90586, 1847.11, 172.891, -15.8653, 39.6027
5.00609, 1864.36, 171.307, -15.7395, 39.5986
5.10638, 1881.46, 169.735, -15.6165, 39.5986
5.2064, 1898.36, 168.179, -15.4964, 39.5986
5.30646, 1915.11, 166.634, -15.3789, 39.6027
5.40654, 1931.71, 165.101, -15.2635, 39.6028
5.50664, 1948.16, 163.579, -15.15, 39.5985
5.60675, 1964.46, 162.068, -15.0391, 39.5985
5.70687, 1980.61, 160.568, -14.9307, 39.6028
5.80698, 1996.61, 159.078, -14.8241, 39.6028
5.90708, 2012.46, 157.6, -14.7193, 39.5984
6.00717, 2028.16, 156.131, -14.6169, 39.5984
6.10724, 2043.71, 154.674, -14.5168, 39.6029
6.20727, 2059.11, 153.227, -14.4184, 39.6029
6.3076, 2074.41, 151.785, -14.3216, 39.6029
6.40788, 2089.56, 150.354, -14.2264, 39.5983
6.50813, 2104.56, 148.932, -14.1334, 39.5983
6.60831, 2119.41, 147.521, -14.0425, 39.603
6.70844, 2134.11, 146.119, -13.9532, 39.603
6.80849, 2148.66, 144.728, -13.8653, 39.5982
6.90882, 2163.11, 143.341, -13.7794, 39.6031
7.00906, 2177.41, 141.964, -13.6949, 39.6031
7.10922, 2191.56, 140.596, -13.6118, 39.5981
7.20928, 2205.56, 139.238, -13.5306, 39.5981
7.3096, 2219.46, 137.885, -13.4508, 39.5981
7.40981, 2233.21, 136.541, -13.3728, 39.6032
7.50991, 2246.81, 135.206, -13.296, 39.6032
7.61025, 2260.31, 133.876, -13.2206, 39.6033
7.71047, 2273.66, 132.555, -13.1463, 39.598
7.81055, 2286.86, 131.243, -13.0738, 39.598
7.91086, 2299.96, 129.935, -13.0025, 39.5979
8.01103, 2312.91, 128.636, -12.9328, 39.6034
8.11104, 2325.71, 127.346, -12.8643, 39.6034
8.21128, 2338.41, 126.06, -12.7969, 39.6034
8.31134, 2350.96, 124.783, -12.7306, 39.5978
8.41163, 2363.41, 123.509, -12.6658, 39.6035
8.51173, 2375.71, 122.245, -12.6021, 39.6035
8.61205, 2387.91, 120.984, -12.5395, 39.6035
8.71217, 2399.96, 119.731, -12.4779, 39.5977
8.81251, 2411.91, 118.482, -12.4177, 39.6036
8.91263, 2423.71, 117.242, -12.3585, 39.6036
9.01295, 2435.41, 116.005, -12.3003, 39.6037
9.11305, 2446.96, 114.777, -12.2431, 39.5976
9.21334, 2458.41, 113.552, -12.1872, 39.6037
9.3134, 2469.71, 112.335, -12.1322, 39.6038
9.41364, 2480.91, 111.122, -12.0781, 39.6038
9.51408, 2492.01, 109.911, -12.025, 39.6038
9.61426, 2502.96, 108.709, -11.9727, 39.5974
9.71462, 2513.81, 107.51, -11.9216, 39.6039
9.81471, 2524.51, 106.32, -11.8715, 39.6039
9.91497, 2535.11, 105.132, -11.8221, 39.604
10.0154, 2545.61, 103.947, -11.7736, 39.604
10.1156, 2555.96, 102.77, -11.7259, 39.5972
10.2159, 2566.21, 101.596, -11.6793, 39.6041
10.3164, 2576.36, 100.425, -11.6332, 39.5972
10.4165, 2586.36, 99.2622, -11.5882, 39.5971
10.5168, 2596.26, 98.1018, -11.544, 39.5971
10.6173, 2606.06, 96.9439, -11.5005, 39.597
10.7175, 2615.71, 95.7944, -11.4581, 39.6043
10.8178, 2625.26, 94.6473, -11.4161, 39.5969
10.9182, 2634.71, 93.5026, -11.3751, 39.6044
11.0183, 2644.01, 92.3663, -11.3349, 39.6044
11.1185, 2653.21, 91.2323, -11.2953, 39.6045
11.2189, 2662.31, 90.1005, -11.2564, 39.6045
11.3194, 2671.31, 88.971, -11.2181, 39.6046
11.4195, 2680.16, 87.8499, -11.1806, 39.5967
11.5198, 2688.91, 86.7309, -11.144, 39.6047
11.6201, 2697.56, 85.6141, -11.1078, 39.5965
11.7207, 2706.11, 84.4993, -11.0724, 39.6048
11.8207, 2714.51, 83.393, -11.0378, 39.6048
11.9209, 2722.81, 82.2888, -11.0037, 39.6049
12.0213, 2731.01, 81.1865, -10.9702, 39.6049
12.1217, 2739.11, 80.0862, -10.9374, 39.605
12.2223, 2747.11, 78.9877, -10.9051, 39.6051
12.3224, 2754.96, 77.8979, -10.8734, 39.5961
12.4226, 2762.71, 76.8101, -10.8426, 39.6052
12.5229, 2770.36, 75.724, -10.812, 39.596
12.6233, 2777.91, 74.6396, -10.7823, 39.6053
12.7239, 2785.36, 73.557, -10.7529, 39.5959
12.8245, 2792.71, 72.476, -10.7242, 39.6055
12.9246, 2799.91, 71.404, -10.6962, 39.6055
