Simulation created and run on: 
Mon Feb 27 13:58:46 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
0, 762.914, 264.57, -9.80665, 0
0.100184, 789.314, 262.469, -20.8652, 1.3999
0.200212, 815.464, 260.392, -20.6751, 2.80027
0.300266, 841.414, 258.332, -20.5016, 4.20102
0.400341, 867.164, 256.288, -20.3439, 5.60204
0.500431, 892.714, 254.26, -20.201, 7.00328
0.60053, 918.064, 252.244, -20.0719, 8.40465
0.700634, 943.214, 250.241, -19.9559, 9.80608
0.800737, 968.164, 248.248, -19.852, 11.2075
0.900837, 992.914, 246.266, -19.7593, 12.6089
1.00093, 1017.46, 244.292, -19.6772, 14.0101
1.10101, 1041.81, 242.327, -19.6047, 15.4112
1.20107, 1065.96, 240.368, -19.5412, 16.8121
1.30112, 1089.91, 238.416, -19.4858, 18.2127
1.40114, 1113.66, 236.47, -19.4379, 19.613
1.50114, 1137.21, 234.528, -19.3967, 21.013
1.60133, 1160.61, 232.586, -19.3615, 22.4157
1.7015, 1183.81, 230.648, -19.3317, 23.818
1.80164, 1206.81, 228.714, -19.3067, 25.2199
1.90175, 1229.61, 226.782, -19.2858, 26.6214
2.00183, 1252.21, 224.853, -19.2685, 28.0226
2.10188, 1274.61, 222.926, -19.2541, 29.4232
2.2019, 1296.81, 221.001, -19.2422, 30.8235
2.30211, 1318.86, 219.073, -19.2322, 32.2264
2.40229, 1340.71, 217.147, -19.2236, 33.6289
2.50244, 1362.36, 215.222, -19.216, 35.0309
2.60255, 1383.81, 213.299, -19.1505, 35.9999
2.70263, 1405.06, 211.393, -18.958, 36.0032
2.80265, 1426.11, 209.506, -18.7691, 35.9999
2.90286, 1447.01, 207.634, -18.5844, 35.9998
3.00301, 1467.71, 205.782, -18.4039, 35.9998
3.10307, 1488.21, 203.949, -18.2275, 35.9998
3.2033, 1508.56, 202.131, -18.0551, 36.0033
3.30344, 1528.71, 200.332, -17.8858, 35.9998
3.40347, 1548.66, 198.551, -17.7212, 36.0033
3.50364, 1568.46, 196.784, -17.5594, 36.0033
