Simulation created and run on: 
Mon Feb 27 13:58:57 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
0, 782.914, 274.57, -9.80665, 0
0.100009, 810.264, 272.39, -21.6854, 1.39755
0.20008, 837.414, 270.231, -21.4793, 2.79853
0.300208, 864.364, 268.09, -21.2911, 4.20029
0.400386, 891.114, 265.965, -21.12, 5.60277
0.50042, 917.614, 263.861, -20.9651, 7.00323
0.600492, 943.914, 261.77, -20.8251, 8.40421
0.700596, 970.014, 259.691, -20.6992, 9.80565
0.800729, 995.914, 257.624, -20.5863, 11.2075
0.900888, 1021.61, 255.568, -20.4856, 12.6097
1.00107, 1047.11, 253.52, -20.3961, 14.0122
1.10107, 1072.36, 251.484, -20.3173, 15.4122
1.20108, 1097.41, 249.456, -20.2481, 16.8123
1.3011, 1122.26, 247.434, -20.1876, 18.2126
1.40114, 1146.91, 245.417, -20.1351, 19.613
1.50117, 1171.36, 243.405, -20.0899, 21.0135
1.60121, 1195.61, 241.397, -20.0512, 22.4141
1.70126, 1219.66, 239.393, -20.0183, 23.8147
1.80131, 1243.51, 237.392, -19.9906, 25.2153
1.90135, 1267.16, 235.393, -19.9673, 26.616
2.0014, 1290.61, 233.396, -19.9478, 28.0166
2.10144, 1313.86, 231.401, -19.9316, 29.4172
2.20148, 1336.91, 229.408, -19.918, 30.8177
2.30152, 1359.76, 227.416, -19.9065, 32.2183
2.40156, 1382.41, 225.425, -19.8965, 33.6187
2.50159, 1404.86, 223.435, -19.8875, 35.0192
2.60162, 1427.11, 221.447, -19.8791, 36.4195
2.70164, 1449.16, 219.459, -19.8707, 37.8198
2.80166, 1471.01, 217.472, -19.862, 39.22
2.90167, 1492.66, 215.486, -19.8526, 40.6201
3.00167, 1514.11, 213.501, -19.8419, 42.0202
3.10191, 1535.41, 211.513, -19.8298, 43.4234
3.20214, 1556.51, 209.526, -19.8158, 44.8266
3.30236, 1577.41, 207.541, -19.7996, 46.2297
3.40258, 1598.11, 205.557, -19.781, 47.6327
3.5028, 1618.61, 203.576, -19.7597, 49.0357
3.603, 1638.91, 201.597, -19.7354, 50.4385
3.7032, 1659.01, 199.621, -19.708, 51.8412
3.80338, 1678.91, 197.648, -19.6773, 53.2438
3.90355, 1698.61, 195.679, -19.6431, 54.6462
4.00371, 1718.11, 193.713, -19.6052, 56.0484
4.10385, 1737.41, 191.752, -19.5635, 57.4503
4.20397, 1756.51, 189.795, -19.518, 58.8519
4.30407, 1775.41, 187.844, -19.4686, 60.2533
4.40414, 1794.11, 185.904, -19.2746, 60.4994
4.50417, 1812.61, 183.987, -19.0555, 60.4994
4.60443, 1830.96, 182.088, -18.8418, 60.5032
4.70462, 1849.11, 180.21, -18.6327, 60.4993
4.80475, 1867.06, 178.355, -18.4297, 60.5033
4.90478, 1884.81, 176.521, -18.231, 60.4993
5.00501, 1902.41, 174.704, -18.0371, 60.4993
5.10512, 1919.81, 172.908, -17.8481, 60.4993
